sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
93,3.4875,4,0.36,7.2481347656249895,-9.164487971526015,2.516305374131531,-1.7107392593164281,-1.1637423519830412,-3.600136731331688,-1.2265827251343124,-3.5905350578425277,6.6802115408497285,4.27212880458924,4.272421833617905
94,3.525,4,0.36,7.794609375000007,-9.20200466267378,3.073288792525424,-2.7621433083265745,-0.6925427041373218,-4.997706404770852,-0.747404930286129,-5.043481992489386,6.4768938010569475,4.271097858185952,4.2257563416300234
95,3.5625,4,0.36,8.338623046875,-9.159684312570713,3.6285745912102048,-3.768133021569389,-0.1661518372739409,-6.331313398156148,-0.24034769824004765,-6.421304363216758,6.009012968681836,4.014117033830377,3.935646203088952
96,3.5999999999999996,4,0.36,8.88000000000001,-9.049598618232316,4.182072018446411,-4.713260376941061,0.420572681650964,-7.579325896847791,0.296347532260355,-7.700566724429797,5.37446208812146,3.5414655817033367,3.4551891502374072
97,3.6374999999999997,4,0.36,9.418564453125,-8.884902760452603,4.733707158004889,-5.583887892812576,1.0717253027502145,-8.721956355284435,0.8640474125216061,-8.85965490791401,4.66031885318429,2.9040992442293927,2.8425192962167474
98,3.675,4,0.36,9.954140625,-8.679362300021927,5.283420999984326,-6.368571154089726,1.7875616950983961,-9.741691802738824,1.4626529126283347,-9.879177816506067,3.9229391796934623,2.1452322511572604,2.142614712482012
99,3.7125,-1,nan,10.48655273437501,-8.446881810867511,5.8311670708032395,-7.058361492923127,2.5650398450060106,-10.623453418031293,2.090805576902347,-10.742216697380352,3.1911189071677666,1.2978942067322214,1.3861002051637001
100,3.75,-1,nan,11.015625,-8.201052335838632,6.376908653782886,-7.647018910279659,3.398999429210105,-11.355765298029262,2.74630333244831,-11.43594217167845,2.4762999556348753,0.38837831840968207,0.5937249518061471
101,3.7874999999999996,-1,nan,11.541181640624998,-7.954733140314168,6.92061564490248,-8.131129183825884,4.282972944997768,-11.933337741316482,3.4263648724815465,-11.955299211424387,1.781566046647737,-0.5602734532510429,-0.22024208330453732
102,3.8249999999999997,-1,nan,12.063046875000005,-7.719681066464793,7.462261089655536,-8.510123591696862,5.209834083699083,-12.356385455489164,4.128017631784837,-12.301975124348337,1.1078736712601895,-1.522656538766852,-1.0417713756655438
103,3.8625,-1,nan,12.581044921874991,-7.506238186936655,8.001817387770407,-8.786206456572579,6.172103137804497,-12.629508807997183,4.848217429677649,-12.482797394608383,0.45823592659774737,-2.4661608902260297,-1.8517223792920379
104,3.9,-1,nan,13.095000000000006,-7.323085563827444,8.539251844172588,-8.964212394796418,7.162083321677725,-12.760910387425069,5.583855343697216,-12.508813293120406,-0.15943233650212751,-3.3480350584567624,-2.6224689691132523
105,3.9375,-1,nan,13.604736328125,-7.177067884653647,9.074520412579913,-9.051459334953478,8.171925252314717,-12.762125409226606,6.331726430399087,-12.395737986169435,-0.7308557358323882,-4.115899772409081,-3.3180472757053545
106,3.9749999999999996,-1,nan,14.110078125000001,-7.073090715933102,9.607560731566059,-9.057652147697567,9.193661778785621,-12.64823729835784,7.088695966362518,-12.16020804197501,-1.2360940838981378,-4.713681928606964,-3.894096809521259
107,4.0125,-1,nan,14.610849609375009,-7.014089221106785,10.13830796299727,-8.994223932746491,10.219394532071979,-12.433701177752825,7.851631784756099,-11.81749143592137,-1.6525816928602477,-5.088956290984238,-4.303670191324764
108,4.05,-1,nan,15.106874999999988,-7.00106455053492,10.666721931944402,-8.872676884400603,11.241118150599837,-12.132831879045321,8.617121415381906,-11.386930490929343,-1.9596650944641854,-5.207734671143701,-4.514237086654041
